"","method","top","middle","bottom"
"1","Base",0.869011860960675,0.732324190350678,0.693950407901877
"2","Two-level",0.923086306259623,0.729542599230806,0.69361326640031
"3","Natural",0.876503699550306,0.717073902174601,0.690706586899776
"4","Grouped",0.831249416541986,0.721395006957157,0.70635378479035
"5","TS-EUC-ME",0.899919723923143,0.7272712550483,0.693245904531771
"6","ER-EUC-ME",0.917678249971689,0.726546262171124,0.693066073019847
"7","TSF-EUC-ME",0.906664116650054,0.727971302876987,0.693149246603853
"8","ERF-EUC-ME",0.908807744139016,0.728819529260795,0.693459341838199
"9","TS-EUC-HC",0.873894996811014,0.719235903391795,0.6916462457394
"10","ER-EUC-HC",0.890209956718683,0.719383187011335,0.6913039870043
"11","TSF-EUC-HC",0.881137551610382,0.718620935085401,0.690236190638498
"12","ERF-EUC-HC",0.889566834688019,0.71867247411188,0.690333921296701
"13","TS-DTW-ME",0.908557249562455,0.728463387288359,0.693336685816144
"14","TS-DTW-HC",0.878327482925288,0.718598568685686,0.69046691243859
"15","ER-DTW-ME",0.910843919574319,0.728865526219982,0.693484168263966
"16","ER-DTW-HC",0.877921525783641,0.718553656278562,0.690599811044953
"17","Combination",0.893366545545885,0.720655415066087,0.689520237194488
